Position,Driver,Total Points (top 11),Avg Points (top 11),Total Points,Avg Points,Events
42,Tracy Pitkin,966.5444717157494,96.65444717157494,966.5444717157494,96.65444717157494,10
43,Kevin Schultz,963.0041115476572,96.30041115476573,963.0041115476572,96.30041115476573,10
44,Katherine Shields,952.0756368066473,86.55233061878612,952.0756368066473,86.55233061878612,11
45,Tyler Larsen,942.9179131950694,85.71981029046086,942.9179131950694,85.71981029046086,11
46,Besim Hojhalli,941.9080012988843,94.19080012988843,941.9080012988843,94.19080012988843,10
47,Cara Benson,937.2634606755099,93.72634606755099,937.2634606755099,93.72634606755099,10
48,Anthony Mariano,919.9814391150683,83.63467628318803,919.9814391150683,83.63467628318803,11
49,Brian Gould,918.8398963446812,83.53089966769829,1223.005584275364,81.5337056183576,15
50,Paul Simmons,913.1993898879477,83.0181263534498,990.8849022554389,82.57374185461991,12
51,Andrew Davis,906.6661159961958,82.42419236329053,906.6661159961958,82.42419236329053,11
52,Sheldon Scott,899.0084103704655,89.90084103704655,899.0084103704655,89.90084103704655,10
53,Janiel Gould,887.7763975796594,80.70694523451449,1266.5264557900566,79.15790348687854,16
54,David Benson,878.9991765934043,97.66657517704492,878.9991765934043,97.66657517704492,9
55,Leonardo Di Sera,872.9787340475225,87.29787340475225,872.9787340475225,87.29787340475225,10
56,Michael Thuet,817.2429888581268,90.80477653979186,817.2429888581268,90.80477653979186,9
57,Travis Breshears,800.9324360921526,88.99249289912807,800.9324360921526,88.99249289912807,9
58,Kyle Hanson,799.0448804206487,88.78276449118319,799.0448804206487,88.78276449118319,9
59,Jordan Priestley,775.0460328136235,96.88075410170293,775.0460328136235,96.88075410170293,8
60,Todd Christopher,769.0193040462875,85.44658933847639,769.0193040462875,85.44658933847639,9
61,Jayson Bujold,767.3877928283106,85.26531031425674,767.3877928283106,85.26531031425674,9
62,Nathan Putnam,764.8507507249819,84.98341674722022,764.8507507249819,84.98341674722022,9
63,Trevor Smith,757.9389311082318,94.74236638852898,757.9389311082318,94.74236638852898,8
64,Kyle Ehrig,752.3929489515348,83.59921655017052,752.3929489515348,83.59921655017052,9
65,Alex Giesey,738.6920926047129,92.33651157558911,738.6920926047129,92.33651157558911,8
66,Mycole Thon,734.7410475558605,91.84263094448256,734.7410475558605,91.84263094448256,8
67,George Curtis,726.7639575144428,90.84549468930535,726.7639575144428,90.84549468930535,8
68,Joshua Shoemaker,701.9705566614779,87.74631958268473,701.9705566614779,87.74631958268473,8
69,Jacob Bastian,686.7178040919268,85.83972551149085,686.7178040919268,85.83972551149085,8
70,Aaron Borgerding,681.1487904410187,85.14359880512734,681.1487904410187,85.14359880512734,8
71,Dustin Sowerby,678.5256203954739,84.81570254943423,678.5256203954739,84.81570254943423,8
72,Reed Robinson,674.2042883733673,84.27553604667091,674.2042883733673,84.27553604667091,8
73,Adam Armstrong,660.2155497698185,82.52694372122731,660.2155497698185,82.52694372122731,8
74,Chauncey Evans,636.056968108744,90.865281158392,636.056968108744,90.865281158392,7
75,Stephen Komlos,631.0551414595444,90.15073449422063,631.0551414595444,90.15073449422063,7
76,Vernon Jolley,621.7985357919957,88.8283622559994,621.7985357919957,88.8283622559994,7
77,Charlie Swindells,619.3838070688805,88.48340100984008,619.3838070688805,88.48340100984008,7
78,Nathan Faucheux,581.2911177030214,83.04158824328877,581.2911177030214,83.04158824328877,7
79,Dale Pitkin,558.406552310472,93.067758718412,558.406552310472,93.067758718412,6
80,Gabriel Jarvis,545.4420623240048,90.90701038733414,545.4420623240048,90.90701038733414,6
81,Jon Wayment,544.3723117301038,90.72871862168397,544.3723117301038,90.72871862168397,6
82,Timothy Zupancic,538.124912708962,89.68748545149367,538.124912708962,89.68748545149367,6
83,Shelby Bujold,534.9502259521219,76.42146085030312,534.9502259521219,76.42146085030312,7
84,Jared Carter,534.2525527217373,89.04209212028955,534.2525527217373,89.04209212028955,6
85,Brett Walton,532.9879434670386,88.8313239111731,532.9879434670386,88.8313239111731,6
86,Joe Skehan,526.6830318999524,87.78050531665873,526.6830318999524,87.78050531665873,6
87,Emilia Hurst,524.7601314015592,74.9657330573656,524.7601314015592,74.9657330573656,7
88,Dillon Hansen,517.034889695405,86.17248161590084,517.034889695405,86.17248161590084,6
89,Jesse Wiseman,516.289879086219,86.0483131810365,516.289879086219,86.0483131810365,6
90,Parker Singleton,513.9336275224763,85.65560458707938,513.9336275224763,85.65560458707938,6
91,Madison Caldron,500.3570972533105,83.39284954221841,500.3570972533105,83.39284954221841,6
